ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
4.5,1.23,0,0.54,2.93,36.4,FALSE,9.1,5.4,4,4,3.6,4.91,33.7,103.7,27.3,0,601713,38.4,41.9,48.2,62.3,70.8,season,0,,R,Nick Pivetta,SDP,L14 file or pitcher row missing -- using season data.
5.19,4.28,1.17,0.82,4.92,14.1,TRUE,8.8,5.53,4.95,14,6.43,3.29,45.8,101.3,38.2,2,605135,46.9,43.6,49.8,58.9,86.3,L14,3.35,5.91,R,Chris Bassitt,BAL,BB% drift 2.3 pts (season 8.0 -> L14 5.7); HR/9 drift 0.56 (season 1.02 -> L14 1.58)
2.09,3.19,0.44,0.55,3.79,19.3,TRUE,8.3,2.06,5.83,14,2.41,1.77,55.8,100.6,40.2,2,605280,47.4,50.6,53.5,61.2,89.9,L14,1.16,2.53,R,Clay Holmes,CHC,K% drift 7.8 pts (season 19.3 -> L14 27.1); HR/9 drift 0.44 (season 0.44 -> L14 0.00)
5.13,4.44,1.47,0.75,4.49,16.8,FALSE,7.9,5.06,4.6,16,5.05,5.23,49.7,101.4,37,1,605288,45.2,51.4,52.7,59.7,75.8,season,6.58,4.95,R,Adrian Houser,SFG,Fewer than 2 L14 starts (1) -- using season data.
4.93,4.82,1.95,0.82,3.7,24.6,TRUE,8,4.82,5.29,28,4.26,5.72,48.5,102.1,37.2,2,605400,45.1,46.6,49.8,56.9,91.5,L14,3.22,6.23,R,Aaron Nola,PHI,BB% drift 3.1 pts (season 8.0 -> L14 11.1); HR/9 drift 1.13 (season 1.95 -> L14 0.82)
2.42,1.72,0,0.47,2.95,33,TRUE,11,3.24,5.2,5,1.64,3,41,90.2,40.1,2,605483,41,41.2,42,43.6,88.8,L14,2.57,,L,Blake Snell,LAD,BB% drift 2.0 pts (season 11.0 -> L14 13.0)
6.37,6.21,2.41,0.88,5.08,17.9,TRUE,9.1,6.84,4.92,25,5.37,7.18,46.2,96.7,36.8,2,605488,46.5,49.9,51.6,57.3,85.6,L14,4.76,10,L,Jeffrey Springs,ATH,BB% drift 2.3 pts (season 9.1 -> L14 6.8); HR/9 drift 1.88 (season 2.41 -> L14 4.29)
2.98,3.12,0.99,0.53,4.11,27,FALSE,5.7,3.4,5.04,9,3.63,2.35,54.1,98.6,32.7,0,605540,51,49,50.1,51,71,season,3.42,0.77,R,Brandon Woodruff,MIL,L14 file or pitcher row missing -- using season data.
1.04,3.08,0,0.63,3.66,24.2,FALSE,6.1,4.05,2.17,4,0,1.17,43.8,91.2,32.4,0,606996,41.6,47,45.6,46.8,31,season,0,4.5,L,Kyle Hart,SDP,L14 file or pitcher row missing -- using season data.
4.47,4.65,1.34,0.75,4.7,17.2,FALSE,8.5,4.74,5.3,19,6.18,3.16,48.5,101.6,39,0,607067,46,48.3,50.3,55.7,87.4,season,3.35,5.65,R,Colin Rea,CHC,L14 file or pitcher row missing -- using season data.
3.2,3.64,0.76,0.6,4.2,25.5,TRUE,12.6,3.9,4.92,12,3.41,2.92,45.3,95.1,40.9,2,607074,48.6,49.7,49.5,49.9,88.2,L14,2.41,,L,Carlos Rodón,NYY,K% drift 6.1 pts (season 25.5 -> L14 19.4); BB% drift 4.2 pts (season 12.6 -> L14 8.3); HR/9 drift 0.34 (season 0.76 -> L14 1.10)
