G,K,BB,GS,HR,IP,K%,Tm,BB%,ERA,TBF,HR/9,Name
2,13,1,2,0,12,0.3,LAD,0.02,3,44,0,Tyler Glasnow
2,13,2,2,1,11.2,0.27,ATL,0.04,1.61,48,0.8,Tyler Mahle
2,11,5,2,1,9.2,0.3,MIA,0.14,0.98,37,0.98,Tyler Phillips
2,11,5,2,1,10.2,0.24,LAA,0.11,3.53,46,0.88,Walbert Ureña
2,7,0,2,3,11,0.17,SDP,0,3.27,41,2.45,Walker Buehler
1,1,1,1,0,3,0.11,WSN,0.11,0,9,0,Will Dion
2,11,3,2,1,12,0.22,NYY,0.06,2.25,51,0.75,Will Warren
3,25,4,3,3,19.2,0.32,LAD,0.05,3.28,78,1.41,Yoshinobu Yamamoto
2,10,2,2,4,12,0.2,LAA,0.04,5.25,50,3,Yusei Kikuchi
2,9,0,2,1,11,0.2,NYM,0,2.45,45,0.82,Zac Thornton
1,1,1,1,0,2.2,0.09,COL,0.09,0,11,0,Zach Agnos
2,10,8,2,4,10,0.2,PHI,0.16,8.1,50,3.6,Zack Wheeler
2,12,1,2,0,15.1,0.21,MIN,0.02,1.19,57,0,Zebby Matthews
