team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
PHI,SI,Sinker,701,610,157,244,72,9,89,18,12.69615,10.27104,0.25738,0.34146,0.4,0.14262,0.32964,2.56776,2026-05-06,2026-09-03
PHI,SL,Slider,553,510,120,205,32,1,140,17,25.31646,5.78662,0.23529,0.27768,0.40196,0.16667,0.29511,3.07414,2026-05-06,2026-09-03
PHI,ST,Sweeper,322,294,55,97,18,2,100,9,31.0559,5.59006,0.18707,0.23364,0.32993,0.14286,0.24707,2.79503,2026-05-06,2026-09-03
PHI,SV,Slurve,30,29,6,7,0,1,9,0,30.0,0.0,0.2069,0.23333,0.24138,0.03448,0.21467,0.0,2026-05-06,2026-09-03
PIT,CH,Changeup,497,465,101,147,26,1,123,11,24.74849,5.23139,0.2172,0.25755,0.31613,0.09892,0.25513,2.21328,2026-05-06,2026-09-03
PIT,CU,Curveball,230,214,56,91,13,2,65,8,28.26087,5.65217,0.26168,0.3087,0.42523,0.16355,0.32222,3.47826,2026-05-06,2026-09-03
PIT,EP,Eephus,14,14,7,12,0,0,0,1,0.0,0.0,0.5,0.5,0.85714,0.35714,0.58571,7.14286,2026-05-06,2026-09-03
PIT,FA,Fastball,18,17,10,16,1,0,0,2,0.0,5.55556,0.58824,0.61111,0.94118,0.35294,0.66722,11.11111,2026-05-06,2026-09-03
PIT,FC,Cutter,319,294,72,124,22,2,63,13,19.74922,6.89655,0.2449,0.30189,0.42177,0.17687,0.31868,4.07524,2026-05-06,2026-09-03
PIT,FF,4-Seam Fastball,1179,1031,279,482,126,10,301,47,25.53011,10.68702,0.27061,0.3541,0.46751,0.1969,0.36072,3.98643,2026-05-06,2026-09-03
PIT,FS,Splitter,118,111,19,26,6,1,40,2,33.89831,5.08475,0.17117,0.22034,0.23423,0.06306,0.20822,1.69492,2026-05-06,2026-09-03
PIT,KC,Knuckle Curve,64,59,15,22,4,1,20,2,31.25,6.25,0.25424,0.3125,0.37288,0.11864,0.30672,3.125,2026-05-06,2026-09-03
PIT,SI,Sinker,690,584,179,237,78,23,104,6,15.07246,11.30435,0.30651,0.40639,0.40582,0.09932,0.36583,0.86957,2026-05-06,2026-09-03
PIT,SL,Slider,521,465,108,204,42,8,165,25,31.66987,8.06142,0.23226,0.30385,0.43871,0.20645,0.32512,4.79846,2026-05-06,2026-09-03
PIT,ST,Sweeper,357,319,66,105,27,9,106,8,29.69188,7.56303,0.2069,0.28571,0.32915,0.12226,0.27787,2.2409,2026-05-06,2026-09-03
PIT,SV,Slurve,20,18,3,4,2,0,10,0,50.0,10.0,0.16667,0.25,0.22222,0.05556,0.2215,0.0,2026-05-06,2026-09-03
SDP,CH,Changeup,418,393,82,135,20,3,103,11,24.64115,4.78469,0.20865,0.2518,0.34351,0.13486,0.26321,2.63158,2026-05-06,2026-09-03
SDP,CU,Curveball,199,183,41,63,13,2,58,5,29.14573,6.53266,0.22404,0.28141,0.34426,0.12022,0.27737,2.51256,2026-05-06,2026-09-03
SDP,EP,Eephus,15,13,6,13,1,1,0,2,0.0,6.66667,0.46154,0.53333,1.0,0.53846,0.63667,13.33333,2026-05-06,2026-09-03
SDP,FA,Fastball,2,2,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-06,2026-09-03
SDP,FC,Cutter,338,288,71,106,44,0,51,6,15.08876,13.01775,0.24653,0.34328,0.36806,0.12153,0.32012,1.77515,2026-05-06,2026-09-03
SDP,FF,4-Seam Fastball,1191,1014,254,425,145,8,245,38,20.57095,12.17464,0.25049,0.34492,0.41913,0.16864,0.33787,3.1906,2026-05-06,2026-09-03
SDP,FS,Splitter,132,123,23,35,9,0,43,3,32.57576,6.81818,0.18699,0.24242,0.28455,0.09756,0.23826,2.27273,2026-05-06,2026-09-03
SDP,KC,Knuckle Curve,58,57,13,18,0,1,17,1,29.31034,0.0,0.22807,0.24138,0.31579,0.08772,0.24586,1.72414,2026-05-06,2026-09-03
SDP,SI,Sinker,721,624,170,239,76,11,99,16,13.73093,10.54092,0.27244,0.35894,0.38301,0.11058,0.3338,2.21914,2026-05-06,2026-09-03
SDP,SL,Slider,486,445,97,180,33,6,129,21,26.54321,6.79012,0.21798,0.27984,0.40449,0.18652,0.30049,4.32099,2026-05-06,2026-09-03
SDP,ST,Sweeper,323,291,61,118,21,9,101,16,31.26935,6.50155,0.20962,0.28173,0.4055,0.19588,0.30233,4.95356,2026-05-06,2026-09-03
SDP,SV,Slurve,23,23,5,6,0,0,6,0,26.08696,0.0,0.21739,0.21739,0.26087,0.04348,0.21,0.0,2026-05-06,2026-09-03
SEA,CH,Changeup,470,428,89,156,33,5,100,17,21.2766,7.02128,0.20794,0.27021,0.36449,0.15654,0.28134,3.61702,2026-05-06,2026-09-03
SEA,CU,Curveball,198,181,39,68,12,4,66,6,33.33333,6.06061,0.21547,0.27778,0.37569,0.16022,0.28929,3.0303,2026-05-06,2026-09-03
SEA,EP,Eephus,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
SEA,FA,Fastball,5,5,2,2,0,0,0,0,0.0,0.0,0.4,0.4,0.4,0.0,0.356,0.0,2026-05-06,2026-09-03
SEA,FC,Cutter,322,294,77,121,21,4,48,11,14.90683,6.52174,0.2619,0.31776,0.41156,0.14966,0.32199,3.41615,2026-05-06,2026-09-03
SEA,FF,4-Seam Fastball,1129,974,227,384,127,18,267,40,23.64925,11.24889,0.23306,0.33067,0.39425,0.16119,0.32449,3.54296,2026-05-06,2026-09-03
SEA,FS,Splitter,129,116,23,39,10,2,31,4,24.03101,7.75194,0.19828,0.27132,0.33621,0.13793,0.2724,3.10078,2026-05-06,2026-09-03
SEA,KC,Knuckle Curve,61,54,7,11,7,0,26,1,42.62295,11.47541,0.12963,0.22951,0.2037,0.07407,0.20738,1.63934,2026-05-06,2026-09-03
SEA,SI,Sinker,710,623,158,220,63,20,96,12,13.52113,8.87324,0.25361,0.34088,0.35313,0.09952,0.31518,1.69014,2026-05-06,2026-09-03
SEA,SL,Slider,479,449,95,167,23,3,139,17,29.01879,4.80167,0.21158,0.25314,0.37194,0.16036,0.27414,3.54906,2026-05-06,2026-09-03
SEA,ST,Sweeper,301,269,60,105,22,5,94,11,31.22924,7.30897,0.22305,0.29,0.39033,0.16729,0.30007,3.65449,2026-05-06,2026-09-03
SEA,SV,Slurve,20,19,6,13,0,1,8,2,40.0,0.0,0.31579,0.35,0.68421,0.36842,0.443,10.0,2026-05-06,2026-09-03
SFG,CH,Changeup,413,379,85,136,26,3,95,8,23.00242,6.2954,0.22427,0.2767,0.35884,0.13456,0.27973,1.93705,2026-05-06,2026-09-03
SFG,CS,Slow Curve,1,1,0,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
SFG,CU,Curveball,205,185,44,79,14,2,50,9,24.39024,6.82927,0.23784,0.29557,0.42703,0.18919,0.31621,4.39024,2026-05-06,2026-09-03
SFG,EP,Eephus,8,8,4,4,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-06,2026-09-03
SFG,FA,Fastball,17,16,5,16,1,0,1,3,5.88235,5.88235,0.3125,0.35294,1.0,0.6875,0.56059,17.64706,2026-05-06,2026-09-03
SFG,FC,Cutter,307,273,72,133,28,1,39,14,12.70358,9.12052,0.26374,0.33115,0.48718,0.22344,0.35482,4.56026,2026-05-06,2026-09-03
SFG,FF,4-Seam Fastball,1286,1128,291,519,131,10,289,49,22.47278,10.18663,0.25798,0.33803,0.46011,0.20213,0.34877,3.81026,2026-05-06,2026-09-03
SFG,FO,Forkball,6,5,1,2,0,1,1,0,16.66667,0.0,0.2,0.33333,0.4,0.2,0.33167,0.0,2026-05-06,2026-09-03
SFG,FS,Splitter,88,82,24,41,6,0,25,4,28.40909,6.81818,0.29268,0.34091,0.5,0.20732,0.36264,4.54545,2026-05-06,2026-09-03
SFG,KC,Knuckle Curve,60,59,4,10,1,0,18,2,30.0,1.66667,0.0678,0.08333,0.16949,0.10169,0.11117,3.33333,2026-05-06,2026-09-03
SFG,KN,Knuckleball,8,6,1,4,2,0,4,1,50.0,25.0,0.16667,0.375,0.66667,0.5,0.435,12.5,2026-05-06,2026-09-03
SFG,SI,Sinker,726,640,184,264,52,16,75,20,10.33058,7.16253,0.2875,0.35097,0.4125,0.125,0.33838,2.75482,2026-05-06,2026-09-03
SFG,SL,Slider,542,503,110,172,28,4,157,14,28.96679,5.16605,0.21869,0.26394,0.34195,0.12326,0.26879,2.58303,2026-05-06,2026-09-03
SFG,ST,Sweeper,303,277,70,134,16,6,80,14,26.40264,5.28053,0.25271,0.30565,0.48375,0.23105,0.3404,4.62046,2026-05-06,2026-09-03
SFG,SV,Slurve,12,12,2,4,0,0,5,0,41.66667,0.0,0.16667,0.16667,0.33333,0.16667,0.20917,0.0,2026-05-06,2026-09-03
STL,CH,Changeup,475,440,94,154,29,3,111,11,23.36842,6.10526,0.21364,0.26526,0.35,0.13636,0.27135,2.31579,2026-05-06,2026-09-03
STL,CS,Slow Curve,3,3,2,3,0,0,0,0,0.0,0.0,0.66667,0.66667,1.0,0.33333,0.72,0.0,2026-05-06,2026-09-03
STL,CU,Curveball,291,262,64,104,17,7,69,9,23.71134,5.84192,0.24427,0.3045,0.39695,0.15267,0.30969,3.09278,2026-05-06,2026-09-03
STL,EP,Eephus,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
STL,FA,Fastball,4,4,1,1,0,0,0,0,0.0,0.0,0.25,0.25,0.25,0.0,0.2225,0.0,2026-05-06,2026-09-03
STL,FC,Cutter,263,242,64,107,16,1,37,10,14.06844,6.08365,0.26446,0.30916,0.44215,0.17769,0.32582,3.80228,2026-05-06,2026-09-03
STL,FF,4-Seam Fastball,1139,1006,238,405,110,13,259,39,22.73924,9.65759,0.23658,0.3175,0.40258,0.166,0.31907,3.42406,2026-05-06,2026-09-03
