K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.23,147,0.22,0.05,0.07,0.28,0.57,0.29,WSN,0.26,59,0.29,,,0.31,,,,,Daylen Lile,
0.14,147,0.27,0.15,0.14,0.39,0.8,0.41,CHC,0.35,124,0.29,,,0.32,,,,,Alex Bregman,
0.36,146,0.27,0.12,0.24,0.36,0.86,0.51,COL,0.37,135,0.4,,,0.33,,,,,Hunter Goodman,
0.18,145,0.27,0.04,0.17,0.32,0.77,0.45,KCR,0.33,108,0.31,,,0.3,,,,,Salvador Perez,
0.18,145,0.35,0.08,0.14,0.4,0.89,0.49,CLE,0.39,148,0.42,,,0.34,,,,,Chase DeLauter,
0.28,145,0.21,0.08,0.22,0.28,0.71,0.44,ATH,0.31,96,0.23,,,0.33,,,,,Tyler Soderstrom,
0.18,144,0.2,0.07,0.12,0.25,0.57,0.32,TOR,0.25,55,0.23,,,0.3,,,,,Myles Straw,
0.35,144,0.22,0.06,0.17,0.26,0.66,0.39,NYY,0.28,78,0.3,,,0.29,,,,,Jazz Chisholm Jr.,
0.29,143,0.26,0.15,0.15,0.37,0.78,0.41,DET,0.35,122,0.37,,,0.31,,,,,Spencer Torkelson,
0.19,143,0.29,0.09,0.2,0.36,0.85,0.49,SEA,0.37,136,0.32,,,0.35,,,,,Randy Arozarena,
0.1,143,0.29,0.06,0.11,0.33,0.73,0.4,CHC,0.32,102,0.3,,,0.32,,,,,Nico Hoerner,
0.29,143,0.27,0.01,0.2,0.29,0.76,0.47,KCR,0.33,110,0.33,,,0.36,,,,,Jac Caglianone,
0.34,143,0.16,0.13,0.15,0.27,0.57,0.3,SEA,0.26,62,0.19,,,0.3,,,,,Cal Raleigh,
0.2,142,0.29,0.1,0.14,0.37,0.8,0.42,COL,0.35,122,0.36,,,0.34,,,,,Kyle Karros,
0.15,141,0.27,0.11,0.12,0.36,0.75,0.39,KCR,0.34,112,0.31,,,0.31,,,,,Nick Loftin,
0.16,141,0.28,0.12,0.12,0.37,0.77,0.4,MIL,0.34,113,0.32,,,0.34,,,,,William Contreras,
0.24,141,0.27,0.18,0.17,0.4,0.85,0.44,LAA,0.37,135,0.34,,,0.38,,,,,Mike Trout,
