bats,team,status,throws,position,full_name,player_id,team_abbr,jersey_number,position_type
S,Boston Red Sox,active,R,2B,Nick Sogard,686765,BOS,20,2B
R,Boston Red Sox,active,R,3B,Caleb Durbin,702332,BOS,5,3B
S,Boston Red Sox,active,R,C,Adley Rutschman,668939,BOS,31,C
R,Boston Red Sox,active,R,C,Connor Wong,657136,BOS,12,C
R,Boston Red Sox,active,R,DH,Jahmai Jones,663330,BOS,37,DH
S,Boston Red Sox,active,R,DH,Mickey Gasper,681508,BOS,30,DH
R,Boston Red Sox,active,R,CF,Ceddanne Rafaela,678882,BOS,3,OF
R,Boston Red Sox,active,R,RF,Eli White,642201,BOS,38,OF
L,Boston Red Sox,active,R,LF,Jarren Duran,680776,BOS,16,OF
L,Boston Red Sox,active,R,LF,Roman Anthony,701350,BOS,19,OF
L,Boston Red Sox,active,L,RF,Wilyer Abreu,677800,BOS,52,OF
S,Boston Red Sox,active,L,P,Alec Gamboa,687941,BOS,68,RP
L,Boston Red Sox,active,L,P,Aroldis Chapman,547973,BOS,44,RP
R,Boston Red Sox,active,R,P,Brayan Bello,678394,BOS,66,RP
L,Boston Red Sox,active,L,P,Erik Miller,669062,BOS,67,RP
R,Boston Red Sox,active,R,P,Garrett Whitlock,676477,BOS,22,RP
R,Boston Red Sox,active,R,P,Greg Weissert,669711,BOS,57,RP
L,Boston Red Sox,active,L,P,Jake Bennett,687562,BOS,64,RP
L,Boston Red Sox,active,L,P,Jovani Morán,663558,BOS,47,RP
L,Boston Red Sox,active,L,P,Patrick Sandoval,663776,BOS,43,RP
L,Boston Red Sox,active,L,P,Payton Tolle,801139,BOS,70,RP
L,Boston Red Sox,active,L,P,Ranger Suarez,624133,BOS,55,RP
L,Boston Red Sox,active,L,P,Raymond Burgos,670103,BOS,79,RP
R,Boston Red Sox,active,R,P,Sonny Gray,543243,BOS,54,RP
R,Boston Red Sox,active,R,P,Wyatt Olds,681544,BOS,75,RP
R,Boston Red Sox,active,R,SS,Andruw Monasterio,655316,BOS,32,SS
R,Boston Red Sox,active,R,SS,Trevor Story,596115,BOS,10,SS
L,Chicago Cubs,active,R,1B,Michael Busch,683737,CHC,29,1B
R,Chicago Cubs,active,R,2B,Nico Hoerner,663538,CHC,2,2B
S,Chicago Cubs,active,R,2B,Pedro Ramírez,699393,CHC,75,2B
R,Chicago Cubs,active,R,3B,Alex Bregman,608324,CHC,3,3B
S,Chicago Cubs,active,R,3B,BJ Murray Jr.,681230,CHC,83,3B
R,Chicago Cubs,active,R,3B,Gabriel Arias,672356,CHC,43,3B
R,Chicago Cubs,active,R,C,Carson Kelly,608348,CHC,15,C
R,Chicago Cubs,active,R,C,Miguel Amaya,665804,CHC,9,C
L,Chicago Cubs,active,R,DH,Michael Conforto,624424,CHC,20,DH
S,Chicago Cubs,active,R,LF,Ian Happ,664023,CHC,8,OF
R,Chicago Cubs,active,R,RF,Matt Shaw,807713,CHC,6,OF
L,Chicago Cubs,active,L,CF,Pete Crow-Armstrong,691718,CHC,4,OF
R,Chicago Cubs,active,R,RF,Seiya Suzuki,673548,CHC,27,OF
R,Chicago Cubs,active,R,LF,Tyrone Taylor,621438,CHC,55,OF
R,Chicago Cubs,active,R,P,Aaron Civale,650644,CHC,38,RP
R,Chicago Cubs,active,L,P,Caleb Thielbar,573204,CHC,24,RP
R,Chicago Cubs,active,R,P,Clay Holmes,605280,CHC,25,RP
R,Chicago Cubs,active,R,P,Colin Rea,607067,CHC,53,RP
R,Chicago Cubs,active,R,P,Daniel Palencia,694037,CHC,48,RP
L,Chicago Cubs,active,L,P,David Peterson,656849,CHC,19,RP
R,Chicago Cubs,active,R,P,Jacob Webb,657097,CHC,71,RP
L,Chicago Cubs,active,R,P,Kevin Gausman,592332,CHC,12,RP
L,Chicago Cubs,active,L,P,Matthew Boyd,571510,CHC,16,RP
R,Chicago Cubs,active,L,P,Ryan Rolison,669020,CHC,33,RP
R,Chicago Cubs,active,R,P,Ryan Zeferjahn,666171,CHC,56,RP
L,Chicago Cubs,active,L,P,Shota Imanaga,684007,CHC,18,RP
R,Chicago Cubs,active,R,P,Trent Thornton,663423,CHC,49,RP
R,Chicago Cubs,active,R,P,Tyler Ferguson,621053,CHC,64,RP
L,Chicago White Sox,active,R,1B,Munetaka Murakami,808959,CHW,5,1B
R,Chicago White Sox,active,R,2B,Chase Meidroth,805367,CHW,10,2B
R,Chicago White Sox,active,R,3B,Miguel Vargas,678246,CHW,20,3B
S,Chicago White Sox,active,R,C,Drew Romo,691011,CHW,36,C
R,Chicago White Sox,active,R,C,Jake Rogers,668670,CHW,28,C
L,Chicago White Sox,active,L,DH,Andrew Benintendi,643217,CHW,23,DH
R,Chicago White Sox,active,R,DH,Randal Grichuk,545341,CHW,34,DH
S,Chicago White Sox,active,R,RF,Braden Montgomery,695731,CHW,24,OF
R,Chicago White Sox,active,R,CF,Brenton Doyle,686668,CHW,7,OF
L,Chicago White Sox,active,R,LF,Sam Antonacci,803011,CHW,17,OF
R,Chicago White Sox,active,R,LF,Tommy Pham,502054,CHW,21,OF
L,Chicago White Sox,active,R,CF,Tristan Peters,671976,CHW,29,OF
L,Chicago White Sox,active,L,P,Anthony Kay,641743,CHW,18,RP
L,Chicago White Sox,active,L,P,Bryan Hudson,663542,CHW,60,RP
L,Chicago White Sox,active,R,P,Davis Martin,663436,CHW,65,RP
R,Chicago White Sox,active,R,P,Erick Fedde,607200,CHW,47,RP
R,Chicago White Sox,active,R,P,Grant Taylor,691799,CHW,31,RP
L,Chicago White Sox,active,L,P,Hagen Smith,696146,CHW,32,RP
R,Chicago White Sox,active,R,P,Jordan Hicks,663855,CHW,44,RP
R,Chicago White Sox,active,R,P,José Urquidy,664353,CHW,70,RP
R,Chicago White Sox,active,R,P,Luis Castillo,622491,CHW,58,RP
R,Chicago White Sox,active,R,P,Sean Burke,680732,CHW,59,RP
L,Chicago White Sox,active,L,P,Sean Newcomb,656794,CHW,15,RP
R,Chicago White Sox,active,R,P,Trevor Richards,670950,CHW,43,RP
R,Chicago White Sox,active,R,P,Tyler Davis,699823,CHW,63,RP
L,Chicago White Sox,active,L,P,Tyler Schweitzer,805326,CHW,62,RP
L,Chicago White Sox,active,R,SS,Colson Montgomery,695657,CHW,12,SS
R,Chicago White Sox,active,R,SS,Luisangel Acuña,682668,CHW,0,SS
R,Cincinnati Reds,active,R,1B,Sal Stewart,701398,CIN,27,1B
S,Cincinnati Reds,active,R,2B,Edwin Arroyo,695490,CIN,2,2B
S,Cincinnati Reds,active,R,2B,Ivan Johnson,671155,CIN,63,2B
S,Cincinnati Reds,active,R,2B,Juan Brito,682877,CIN,46,2B
R,Cincinnati Reds,active,R,2B,Matt McLain,680574,CIN,9,2B
R,Cincinnati Reds,active,R,C,Jose Trevino,624431,CIN,35,C
R,Cincinnati Reds,active,R,C,Tyler Stephenson,663886,CIN,37,C
R,Cincinnati Reds,active,R,C,Will Banfield,677943,CIN,60,C
R,Cincinnati Reds,active,R,DH,Eugenio Suárez,553993,CIN,28,DH
R,Cincinnati Reds,active,R,CF,Dane Myers,667472,CIN,17,OF
L,Cincinnati Reds,active,R,RF,Héctor Rodríguez,699302,CIN,43,OF
L,Cincinnati Reds,active,L,LF,JJ Bleday,668709,CIN,22,OF
L,Cincinnati Reds,active,L,CF,TJ Friedl,670770,CIN,29,OF
L,Cincinnati Reds,active,L,P,Andrew Abbott,671096,CIN,41,RP
R,Cincinnati Reds,active,R,P,Brady Singer,663903,CIN,51,RP
R,Cincinnati Reds,active,L,P,Brandon Williamson,682227,CIN,55,RP
L,Cincinnati Reds,active,L,P,Brock Burke,656271,CIN,49,RP
R,Cincinnati Reds,active,R,P,Chase Burns,695505,CIN,26,RP
L,Cincinnati Reds,active,R,P,Emilio Pagán,641941,CIN,15,RP
L,Cincinnati Reds,active,R,P,Julian Garcia,670062,CIN,57,RP
R,Cincinnati Reds,active,R,P,Luis Mey,682825,CIN,47,RP
L,Cincinnati Reds,active,L,P,Nick Lodolo,666157,CIN,40,RP
R,Cincinnati Reds,active,R,P,Pierce Johnson,572955,CIN,52,RP
R,Cincinnati Reds,active,R,P,Rhett Lowder,695076,CIN,25,RP
L,Cincinnati Reds,active,L,P,Sam Moll,594580,CIN,50,RP
R,Cincinnati Reds,active,R,P,Tejay Antone,622088,CIN,70,RP
R,Cincinnati Reds,active,R,P,Tony Santillan,663574,CIN,64,RP
S,Cincinnati Reds,active,R,SS,Elly De La Cruz,682829,CIN,44,SS
L,Cleveland Guardians,active,R,1B,Nathaniel Lowe,663993,CLE,46,1B
S,Cleveland Guardians,active,R,2B,Angel Genao,694197,CLE,17,2B
L,Cleveland Guardians,active,R,2B,Travis Bazzana,683953,CLE,37,2B
S,Cleveland Guardians,active,R,3B,José Ramírez,608070,CLE,11,3B
R,Cleveland Guardians,active,R,C,Austin Hedges,595978,CLE,27,C
S,Cleveland Guardians,active,R,C,Patrick Bailey,672275,CLE,16,C
S,Cleveland Guardians,active,R,LF,Angel Martínez,682657,CLE,1,OF
L,Cleveland Guardians,active,L,RF,Chase DeLauter,800050,CLE,24,OF
L,Cleveland Guardians,active,R,CF,Daniel Schneemann,682177,CLE,10,OF
R,Cleveland Guardians,active,R,RF,David Fry,681807,CLE,6,OF
R,Cleveland Guardians,active,R,RF,Jo Adell,666176,CLE,7,OF
L,Cleveland Guardians,active,R,CF,Petey Halpin,690984,CLE,0,OF
L,Cleveland Guardians,active,L,LF,Steven Kwan,680757,CLE,38,OF
R,Cleveland Guardians,active,R,P,Cade Smith,671922,CLE,36,RP
R,Cleveland Guardians,active,R,P,Carlos Hernández,672578,CLE,40,RP
R,Cleveland Guardians,active,R,P,Colin Holderman,670059,CLE,35,RP
R,Cleveland Guardians,active,R,P,Craig Yoho,684974,CLE,23,RP
R,Cleveland Guardians,active,L,P,Erik Sabrowski,681870,CLE,62,RP
R,Cleveland Guardians,active,L,P,Foster Griffin,656492,CLE,22,RP
L,Cleveland Guardians,active,R,P,Gavin Williams,668909,CLE,32,RP
R,Cleveland Guardians,active,R,P,Hunter Gaddis,683769,CLE,33,RP
L,Cleveland Guardians,active,L,P,Joey Cantillo,676282,CLE,54,RP
R,Cleveland Guardians,active,L,P,Logan Allen,671106,CLE,26,RP
R,Cleveland Guardians,active,R,P,Matt Festa,670036,CLE,52,RP
L,Cleveland Guardians,active,L,P,Parker Messick,800048,CLE,77,RP
R,Cleveland Guardians,active,R,P,Tanner Bibee,676440,CLE,28,RP
L,Cleveland Guardians,active,L,P,Tim Herrin,682120,CLE,29,RP
S,Cleveland Guardians,active,R,SS,Brayan Rocchio,677587,CLE,4,SS
L,Colorado Rockies,active,R,1B,TJ Rumfield,681198,COL,7,1B
S,Colorado Rockies,active,R,2B,Adael Amador,691182,COL,1,2B
R,Colorado Rockies,active,R,2B,Connor Norby,681393,COL,35,2B
S,Colorado Rockies,active,R,2B,Willi Castro,650489,COL,3,2B
L,Colorado Rockies,active,R,C,Brett Sullivan,664954,COL,26,C
R,Colorado Rockies,active,R,C,Hunter Goodman,696100,COL,15,C
S,Colorado Rockies,active,R,CF,Cole Carrigg,694249,COL,16,OF
L,Colorado Rockies,active,L,LF,Jake McCarthy,664983,COL,31,OF
R,Colorado Rockies,active,R,LF,Jordan Beck,687597,COL,27,OF
L,Colorado Rockies,active,R,LF,Mickey Moniak,666160,COL,22,OF
L,Colorado Rockies,active,L,RF,Troy Johnston,687859,COL,20,OF
L,Colorado Rockies,active,R,LF,Zac Veen,691728,COL,13,OF
R,Colorado Rockies,active,R,P,Blas Castaño,680604,COL,63,RP
L,Colorado Rockies,active,L,P,Brennan Bernardino,657514,COL,83,RP
R,Colorado Rockies,active,R,P,Gabriel Hughes,687312,COL,43,RP
R,Colorado Rockies,active,R,P,Jaden Hill,677955,COL,0,RP
R,Colorado Rockies,active,R,P,Jimmy Herget,623474,COL,44,RP
R,Colorado Rockies,active,R,P,Jordan Romano,605447,COL,68,RP
R,Colorado Rockies,active,R,P,Juan Mejia,675848,COL,47,RP
R,Colorado Rockies,active,L,P,Mark Manfredi,815081,COL,54,RP
R,Colorado Rockies,active,R,P,Mason Adams,690279,COL,38,RP
R,Colorado Rockies,active,R,P,Nick Frasso,693308,COL,41,RP
R,Colorado Rockies,active,R,P,Ryan Feltner,663372,COL,18,RP
L,Colorado Rockies,active,R,P,Tanner Gordon,685299,COL,29,RP
R,Colorado Rockies,active,R,P,Tomoyuki Sugano,608372,COL,11,RP
R,Colorado Rockies,active,R,P,Zach Agnos,688642,COL,36,RP
R,Colorado Rockies,active,R,SS,Ezequiel Tovar,678662,COL,14,SS
R,Colorado Rockies,active,R,SS,Ryan Ritter,690022,COL,8,SS
R,Detroit Tigers,active,R,1B,Spencer Torkelson,679529,DET,20,1B
R,Detroit Tigers,active,R,2B,Gleyber Torres,650402,DET,25,2B
R,Detroit Tigers,active,R,2B,Hao-Yu Lee,701678,DET,50,2B
L,Detroit Tigers,active,R,3B,Colt Keith,690993,DET,33,3B
R,Detroit Tigers,active,R,C,Dillon Dingler,693307,DET,13,C
R,Detroit Tigers,active,R,DH,Eduardo Valencia,680664,DET,32,DH
R,Detroit Tigers,active,R,RF,Ben Malgeri,701162,DET,53,OF
L,Detroit Tigers,active,R,LF,Brett Callahan,814430,DET,34,OF
L,Detroit Tigers,active,L,CF,Max Clark,703601,DET,15,OF
L,Detroit Tigers,active,L,LF,Riley Greene,682985,DET,31,OF
L,Detroit Tigers,active,R,RF,Zach McKinstry,656716,DET,39,OF
L,Detroit Tigers,active,L,P,Andrew Sears,808825,DET,64,RP
R,Detroit Tigers,active,R,P,Beau Brieske,689225,DET,4,RP
R,Detroit Tigers,active,R,P,Drew Anderson,623454,DET,38,RP
L,Detroit Tigers,active,L,P,Drew Sommers,805427,DET,51,RP
R,Detroit Tigers,active,L,P,Framber Valdez,664285,DET,59,RP
R,Detroit Tigers,active,R,P,Jackson Jobe,695549,DET,21,RP
R,Detroit Tigers,active,R,P,Jacob Waguespack,621097,DET,58,RP
R,Detroit Tigers,active,R,P,Keider Montero,672456,DET,54,RP
S,Detroit Tigers,active,R,P,Kenley Jansen,445276,DET,74,RP
R,Detroit Tigers,active,R,P,Kyle Finnegan,640448,DET,67,RP
R,Detroit Tigers,active,R,P,Troy Melton,675512,DET,52,RP
L,Detroit Tigers,active,L,P,Tyler Holton,663947,DET,87,RP
R,Detroit Tigers,active,R,P,Tyler Kinley,641755,DET,55,RP
R,Detroit Tigers,active,R,P,Yilber Díaz,700270,DET,62,RP
R,Detroit Tigers,active,R,SS,Javier Báez,595879,DET,28,SS
R,Detroit Tigers,active,R,SS,John Peck,807726,DET,18,SS
L,Detroit Tigers,active,R,SS,Kevin McGonigle,805808,DET,7,SS
R,Houston Astros,active,R,1B,Christian Walker,572233,HOU,8,1B
R,Houston Astros,active,R,2B,Jose Altuve,514888,HOU,27,2B
R,Houston Astros,active,R,3B,Isaac Paredes,670623,HOU,15,3B
R,Houston Astros,active,R,C,Christian Vázquez,543877,HOU,2,C
R,Houston Astros,active,R,C,Yainer Diaz,673237,HOU,21,C
L,Houston Astros,active,R,DH,Yordan Alvarez,670541,HOU,44,DH
R,Houston Astros,active,R,RF,Cam Smith,701358,HOU,11,OF
L,Houston Astros,active,R,CF,Daulton Varsho,662139,HOU,18,OF
R,Houston Astros,active,L,CF,Jake Meyers,676694,HOU,6,OF
L,Houston Astros,active,L,LF,LaMonte Wade Jr.,664774,HOU,31,OF
R,Houston Astros,active,R,LF,Nelson Velázquez,676369,HOU,30,OF
L,Houston Astros,active,L,CF,Taylor Trammell,666211,HOU,26,OF
R,Houston Astros,active,R,P,AJ Blubaugh,805123,HOU,69,RP
L,Houston Astros,active,L,P,Bennett Sousa,656986,HOU,62,RP
R,Houston Astros,active,R,P,Bryan Abreu,650556,HOU,52,RP
R,Houston Astros,active,R,P,Cristian Javier,664299,HOU,53,RP
R,Houston Astros,active,R,P,Enyel De Los Santos,660853,HOU,65,RP
R,Houston Astros,active,R,P,Ethan Pecko,814490,HOU,70,RP
R,Houston Astros,active,R,P,Hayden Wesneski,669713,HOU,39,RP
R,Houston Astros,active,R,P,Hunter Brown,686613,HOU,58,RP
L,Houston Astros,active,L,P,Josh Hader,623352,HOU,71,RP
R,Houston Astros,active,R,P,Kai-Wei Teng,678906,HOU,17,RP
R,Houston Astros,active,R,P,Peter Lambert,663567,HOU,38,RP
R,Houston Astros,active,R,P,Ronel Blanco,669854,HOU,56,RP
L,Houston Astros,active,L,P,Steven Okert,595345,HOU,48,RP
R,Houston Astros,active,R,P,Tatsuya Imai,837227,HOU,45,RP
R,Houston Astros,active,R,SS,Jeremy Peña,665161,HOU,3,SS
R,Houston Astros,active,R,SS,Nick Allen,669397,HOU,20,SS
L,Kansas City Royals,active,L,1B,Vinnie Pasquantino,686469,KCR,9,1B
