Name,Tm,PA,AB,AVG,OBP,SLG,BB%,K%,wOBA,xwOBA,wRC+,ISO,BABIP,Chase%,ZCon%,OCon%,SwStr%,Barrel%,HardHit%,Launch Angle
Matt McLain,CIN,321.0,284.0,0.18,0.269,0.331,0.0966,0.2928,0.271,0.311,64.0,0.151,0.231,,,,,,,
Gabriel Moreno,ARI,319.0,273.0,0.308,0.395,0.465,0.1191,0.1473,0.378,0.368,137.0,0.157,0.345,,,,,,,
Nasim Nuñez,WSN,318.0,280.0,0.211,0.281,0.239,0.0881,0.2107,0.241,0.266,44.0,0.028,0.274,,,,,,,
Lawrence Butler,ATH,317.0,274.0,0.234,0.334,0.372,0.1325,0.2524,0.317,0.317,96.0,0.138,0.299,,,,,,,
Drake Baldwin,ATL,316.0,277.0,0.296,0.38,0.487,0.1076,0.2184,0.379,0.371,137.0,0.191,0.345,,,,,,,
Andrés Giménez,TOR,315.0,291.0,0.247,0.287,0.371,0.0349,0.2032,0.286,0.267,75.0,0.124,0.292,,,,,,,
Isaac Collins,KCR,314.0,264.0,0.242,0.355,0.367,0.1401,0.2293,0.326,0.299,102.0,0.125,0.316,,,,,,,
Willi Castro,COL,310.0,270.0,0.256,0.345,0.43,0.1097,0.271,0.343,0.312,113.0,0.174,0.328,,,,,,,
Ezequiel Tovar,COL,310.0,285.0,0.214,0.255,0.344,0.0548,0.229,0.262,0.279,59.0,0.13,0.249,,,,,,,
Christian Yelich,MIL,307.0,268.0,0.246,0.332,0.392,0.1042,0.2573,0.317,0.318,96.0,0.146,0.319,,,,,,,
Troy Johnston,COL,307.0,268.0,0.31,0.388,0.429,0.0977,0.1759,0.362,0.331,126.0,0.119,0.377,,,,,,,
George Springer,TOR,306.0,274.0,0.263,0.336,0.431,0.0948,0.183,0.339,0.306,110.0,0.168,0.295,,,,,,,
Spencer Horwitz,PIT,306.0,261.0,0.257,0.356,0.414,0.1209,0.1438,0.343,0.317,113.0,0.157,0.275,,,,,,,
Mike Yastrzemski,ATL,306.0,271.0,0.229,0.31,0.391,0.1013,0.232,0.311,0.31,92.0,0.162,0.275,,,,,,,
Nathan Church,STL,305.0,282.0,0.245,0.285,0.379,0.0525,0.1869,0.291,0.285,78.0,0.134,0.275,,,,,,,
Tyler Stephenson,CIN,303.0,274.0,0.263,0.32,0.464,0.0759,0.2838,0.34,0.337,111.0,0.201,0.33,,,,,,,
Munetaka Murakami,CHW,303.0,250.0,0.232,0.366,0.548,0.1683,0.3267,0.39,0.364,144.0,0.316,0.273,,,,,,,
Carlos Cortes,ATH,303.0,269.0,0.249,0.323,0.394,0.0924,0.1617,0.318,0.31,96.0,0.145,0.274,,,,,,,
Travis Bazzana,CLE,301.0,260.0,0.262,0.346,0.427,0.1096,0.196,0.338,0.3,110.0,0.165,0.303,,,,,,,
Royce Lewis,MIN,300.0,269.0,0.223,0.29,0.379,0.0833,0.2633,0.295,0.313,81.0,0.156,0.276,,,,,,,
Nathan Lukes,TOR,299.0,272.0,0.29,0.339,0.426,0.0602,0.1304,0.337,0.292,109.0,0.136,0.31,,,,,,,
Zach McKinstry,DET,299.0,265.0,0.226,0.305,0.347,0.097,0.1538,0.291,0.287,78.0,0.121,0.258,,,,,,,
Cody Bellinger,NYY,298.0,256.0,0.258,0.356,0.418,0.1342,0.1611,0.343,0.347,113.0,0.16,0.287,,,,,,,
Jeremy Peña,HOU,295.0,272.0,0.29,0.339,0.507,0.0542,0.2136,0.367,0.328,129.0,0.217,0.327,,,,,,,
Jake Mangum,PIT,295.0,269.0,0.29,0.342,0.383,0.0542,0.1966,0.322,0.285,99.0,0.093,0.359,,,,,,,
J.T. Realmuto,PHI,294.0,263.0,0.217,0.289,0.365,0.0748,0.2279,0.291,0.32,78.0,0.148,0.257,,,,,,,
Drew Gilbert,SFG,294.0,252.0,0.27,0.362,0.44,0.1054,0.1531,0.352,0.332,119.0,0.17,0.297,,,,,,,
Mickey Moniak,COL,291.0,267.0,0.27,0.313,0.551,0.0619,0.2371,0.367,0.283,129.0,0.281,0.292,,,,,,,
Leody Taveras,BAL,290.0,256.0,0.234,0.306,0.414,0.0897,0.2207,0.316,0.278,95.0,0.18,0.285,,,,,,,
A.J. Ewing,NYM,290.0,259.0,0.232,0.303,0.336,0.0897,0.2586,0.288,0.314,76.0,0.104,0.306,,,,,,,
Mookie Betts,LAD,288.0,266.0,0.244,0.302,0.417,0.0694,0.125,0.317,0.324,96.0,0.173,0.243,,,,,,,
Heliot Ramos,NYY,287.0,267.0,0.232,0.282,0.371,0.0488,0.2787,0.289,0.32,77.0,0.139,0.304,,,,,,,
Richie Palacios,TBR,287.0,245.0,0.237,0.337,0.351,0.122,0.1742,0.312,0.301,92.0,0.114,0.276,,,,,,,
Ty France,SDP,287.0,254.0,0.291,0.357,0.524,0.0697,0.2056,0.38,0.331,138.0,0.233,0.321,,,,,,,
Ildemaro Vargas,ARI,284.0,262.0,0.225,0.279,0.328,0.0634,0.1056,0.269,0.3,63.0,0.103,0.243,,,,,,,
Cal Raleigh,SEA,279.0,237.0,0.181,0.301,0.384,0.1398,0.2939,0.307,0.31,89.0,0.203,0.21,,,,,,,
Vinnie Pasquantino,KCR,279.0,238.0,0.273,0.366,0.433,0.1254,0.1398,0.349,0.331,117.0,0.16,0.292,,,,,,,
Teoscar Hernández,LAD,278.0,255.0,0.239,0.295,0.373,0.0683,0.3022,0.296,0.31,81.0,0.134,0.325,,,,,,,
Colton Cowser,BAL,277.0,241.0,0.237,0.329,0.411,0.1191,0.2708,0.328,0.329,103.0,0.174,0.288,,,,,,,
Jacob Young,WSN,276.0,249.0,0.225,0.288,0.365,0.0616,0.1703,0.29,0.318,78.0,0.14,0.249,,,,,,,
J.P. Crawford,SEA,271.0,236.0,0.208,0.31,0.364,0.1218,0.2251,0.304,0.32,87.0,0.156,0.241,,,,,,,
Jorbit Vivas,WSN,270.0,227.0,0.242,0.341,0.339,0.1185,0.1407,0.309,0.294,90.0,0.097,0.274,,,,,,,
David Hamilton,MIL,268.0,232.0,0.237,0.314,0.332,0.097,0.2052,0.292,0.275,79.0,0.095,0.299,,,,,,,
José Caballero,NYY,267.0,239.0,0.238,0.299,0.385,0.0599,0.1948,0.303,0.281,86.0,0.147,0.265,,,,,,,
Owen Caissie,MIA,264.0,234.0,0.218,0.284,0.436,0.0795,0.3598,0.312,0.3,92.0,0.218,0.288,,,,,,,
Bryce Eldridge,SFG,261.0,223.0,0.247,0.352,0.43,0.1418,0.2605,0.346,0.354,115.0,0.183,0.308,,,,,,,
Jake Cronenworth,SDP,258.0,227.0,0.216,0.307,0.295,0.1085,0.2442,0.278,0.282,69.0,0.079,0.286,,,,,,,
Samuel Basallo,BAL,257.0,229.0,0.249,0.323,0.493,0.0934,0.2335,0.351,0.32,119.0,0.244,0.269,,,,,,,
Javier Sanoja,MIA,257.0,241.0,0.253,0.293,0.373,0.0545,0.0661,0.293,0.282,80.0,0.12,0.261,,,,,,,
Jesús Sánchez,TOR,256.0,228.0,0.281,0.34,0.461,0.0625,0.2344,0.347,0.331,116.0,0.18,0.339,,,,,,,
Taylor Walls,TBR,255.0,217.0,0.235,0.328,0.309,0.1137,0.2627,0.291,0.248,78.0,0.074,0.331,,,,,,,
Heriberto Hernández,MIA,254.0,229.0,0.227,0.303,0.428,0.0945,0.2992,0.322,0.353,99.0,0.201,0.284,,,,,,,
Francisco Alvarez,NYM,254.0,225.0,0.244,0.321,0.44,0.0906,0.2795,0.335,0.323,108.0,0.196,0.306,,,,,,,
Dominic Smith,ATL,251.0,227.0,0.273,0.323,0.41,0.0677,0.1594,0.32,0.298,97.0,0.137,0.293,,,,,,,
Ronald Acuña Jr.,ATL,251.0,216.0,0.25,0.347,0.417,0.1155,0.2231,0.338,0.363,110.0,0.167,0.294,,,,,,,
José Tena,WSN,250.0,225.0,0.222,0.3,0.373,0.092,0.3,0.301,0.3,84.0,0.151,0.301,,,,,,,
Wyatt Langford,TEX,248.0,222.0,0.257,0.335,0.468,0.0927,0.2016,0.352,0.317,119.0,0.211,0.286,,,,,,,
Sal Frelick,MIL,246.0,215.0,0.26,0.326,0.363,0.0894,0.0976,0.306,0.284,88.0,0.103,0.279,,,,,,,
Juan Soto,NYM,246.0,194.0,0.289,0.431,0.598,0.2033,0.1341,0.431,0.421,172.0,0.309,0.262,,,,,,,
Gleyber Torres,DET,245.0,218.0,0.284,0.359,0.39,0.102,0.1796,0.336,0.326,108.0,0.106,0.331,,,,,,,
Zack Gelof,ATH,244.0,218.0,0.252,0.326,0.454,0.0779,0.2541,0.343,0.3,113.0,0.202,0.303,,,,,,,
Dylan Crews,WSN,243.0,224.0,0.192,0.255,0.304,0.0535,0.2593,0.252,0.315,52.0,0.112,0.244,,,,,,,
Francisco Lindor,NYM,242.0,216.0,0.245,0.326,0.431,0.095,0.2149,0.334,0.339,107.0,0.186,0.284,,,,,,,
Patrick Bailey,CLE,241.0,222.0,0.203,0.258,0.32,0.0705,0.2448,0.258,0.306,56.0,0.117,0.247,,,,,,,
Carson Kelly,CHC,237.0,212.0,0.236,0.316,0.325,0.0928,0.1561,0.292,0.314,79.0,0.089,0.269,,,,,,,
Michael Conforto,CHC,237.0,205.0,0.224,0.316,0.434,0.1139,0.2911,0.326,0.322,102.0,0.21,0.279,,,,,,,
Jared Young,NYM,237.0,215.0,0.279,0.338,0.474,0.0675,0.1772,0.353,0.314,120.0,0.195,0.311,,,,,,,
Austin Wells,NYY,235.0,202.0,0.208,0.312,0.337,0.1191,0.2681,0.292,0.288,79.0,0.129,0.263,,,,,,,
Henry Bolte,ATH,233.0,203.0,0.276,0.358,0.34,0.0815,0.2318,0.317,0.304,96.0,0.064,0.367,,,,,,,
Josh Lowe,LAA,232.0,210.0,0.219,0.286,0.39,0.0819,0.2716,0.297,0.287,82.0,0.171,0.261,,,,,,,
Victor Caratini,MIN,231.0,197.0,0.239,0.316,0.35,0.0996,0.1558,0.295,0.318,81.0,0.111,0.256,,,,,,,
Coby Mayo,BAL,231.0,211.0,0.156,0.225,0.265,0.0693,0.355,0.223,0.318,32.0,0.109,0.23,,,,,,,
