abq,obr,oor,osi,rcv,pals,team,abq_l7,obr_l7,osi_l7,pp_gap,rcv_l7,abq_l14,abq_l30,abq_ytd,obr_l14,obr_l30,obr_ytd,osi_l14,osi_l30,osi_ytd,rcv_l14,rcv_l30,rcv_ytd,away_abq,away_obr,away_osi,away_rcv,away_slg,away_wrc,home_abq,home_obr,home_osi,home_rcv,home_slg,home_wrc,proj_osi,team_era,top_3_sp,away_woba,home_woba,abq_vs_lhp,abq_vs_rhp,obr_vs_lhp,obr_vs_rhp,osi_vs_lhp,osi_vs_rhp,rcv_vs_lhp,rcv_vs_rhp,team_k_pct,bullpen_era,closer_name,platoon_gap,team_bb_pct,top_batters,primary_setup,avg_ip_per_start,window_direction,home_away_osi_gap,platoon_sensitive,avg_pitching_score,record_placeholder,bullpen_osi_allowed,bullpen_high_lev_era,bullpen_ir_scored_pct
27.07,19.88,23.03,29.08,41.04,51.1,PHI,27.2,20.6,29.7,-2.9,41.9,27.9,28.1,27.07,21.7,22.1,19.88,30.5,30.7,29.08,42.5,42.3,41.04,,,,,,,,,,,,,26.16,6.1,"[{""name"": ""Zack Wheeler"", ""pitch_score"": 55.5}, {""name"": ""Tim Mayza"", ""pitch_score"": 51.8}, {""name"": ""Kyle Backhus"", ""pitch_score"": 49.8}]",,,31.05,27.07,29.01,19.88,34.29,29.08,42.64,41.04,22.1,3.95,Jhoan Duran,-5.2,9.6,,José Alvarado;Jonathan Bowlan;Orion Kerkering,4.8,stable,,FALSE,70.6,--,51,3.63,38.2
38.55,66.8,68.4,67,87.57,59.1,PIT,38.5,68.5,68.4,-8,89.5,40,40.4,38.55,70.2,70.4,66.8,69.3,69.1,67,89.2,88.2,87.57,,,,,,,,,,,,,59,3.61,"[{""name"": ""Mason Montgomery"", ""pitch_score"": 56.5}, {""name"": ""Paul Skenes"", ""pitch_score"": 55.4}, {""name"": ""Jared Jones"", ""pitch_score"": 53.6}]",,,28.43,38.55,52.82,66.8,50.82,67,64.53,87.57,25.8,3.54,Mason Montgomery,16.2,8.7,,Yohan Ramírez,5.11,stable,,TRUE,66.1,--,47.8,3.73,22.1
43.83,40.21,43.53,48.31,60.78,57.2,SDP,43.2,39.8,47.4,-3.3,59.2,43.4,43.2,43.83,40.4,40.2,40.21,46.5,46,48.31,55.6,54.5,60.78,,,,,,,,,,,,,45.06,4.04,"[{""name"": ""Nick Pivetta"", ""pitch_score"": 58.2}, {""name"": ""Bradgley Rodriguez"", ""pitch_score"": 50.8}, {""name"": ""Kyle Hart"", ""pitch_score"": 48.9}]",,,38.57,43.83,30.62,40.21,39.09,48.31,49.13,60.78,21.3,3.16,Mason Miller,9.2,8.9,,Wandy Peralta;Kyle Hart;Jeremiah Estrada;Adrian Morejon;Yuki Matsui;Bradgley Rodriguez,4.48,stable,,TRUE,51.2,--,47.8,2.68,32.2
41.35,40.76,45.8,47.22,58.79,20.7,SEA,41.2,40.1,46.7,-0.9,58.2,41.5,41.5,41.35,40.4,40.7,40.76,47.2,47.5,47.22,58.9,59.5,58.79,,,,,,,,,,,,,46.35,3.82,"[{""name"": ""Bryce Miller"", ""pitch_score"": 53.4}, {""name"": ""Logan Gilbert"", ""pitch_score"": 53.1}, {""name"": ""Bryan Woo"", ""pitch_score"": 51.7}]",,,39.99,41.35,44.79,40.76,43.73,47.22,45.18,58.79,23.7,3.45,José A. Ferrer,3.5,5.6,,Gabe Speier;Eduard Bazardo,5.71,stable,,FALSE,81.9,--,47.2,3.89,29.9
44.16,30.86,42.23,46.33,65.56,37.5,SFG,42.7,27.3,44.9,-3.3,66.5,42.3,42.4,44.16,25.7,25.6,30.86,44.7,44.7,46.33,68.1,68.2,65.56,,,,,,,,,,,,,43.04,4.53,"[{""name"": ""Landen Roupp"", ""pitch_score"": 49.9}, {""name"": ""Logan Webb"", ""pitch_score"": 48.5}, {""name"": ""Tyler Mahle"", ""pitch_score"": 48.0}]",,,37.47,44.16,29.72,30.86,39.75,46.33,52.86,65.56,19.7,2.97,Erik Miller,6.6,9.2,,Sam Hentges;JT Brubaker;Keaton Winn;Dylan Smith,5.41,stable,,FALSE,44.8,--,49.2,3.4,30.4
45.72,45.2,52.48,45.52,45.74,40.7,STL,45.3,45.1,45.7,3.5,46.7,45.5,45.7,45.72,46.7,47.2,45.2,47.4,48,45.52,49.5,50.7,45.74,,,,,,,,,,,,,48.99,3.51,"[{""name"": ""Dustin May"", ""pitch_score"": 50.6}, {""name"": ""Hunter Dobbins"", ""pitch_score"": 49.6}, {""name"": ""Matthew Liberatore"", ""pitch_score"": 48.4}]",,,55.39,45.72,58.66,45.2,55.48,45.52,51.92,45.74,20.7,4.19,Riley O'Brien,-10,6.7,,Ryne Stanek;Justin Bruihl;Gordon Graceffo,5.21,stable,,TRUE,52.9,--,50.2,4.64,38.3
78.12,28.51,43.89,49.31,52.51,36.1,TBR,79.2,30.4,50.4,-8,52.6,79.8,79.9,78.12,31.5,32,28.51,50.2,49.9,49.31,50.3,48.9,52.51,,,,,,,,,,,,,41.31,4.25,"[{""name"": ""Drew Rasmussen"", ""pitch_score"": 52.9}, {""name"": ""Ian Seymour"", ""pitch_score"": 52.2}, {""name"": ""Griffin Jax"", ""pitch_score"": 51.1}]",,,72.89,78.12,20.52,28.51,38.32,49.31,33.98,52.51,21.9,3.39,Ian Seymour,11,6.7,,Cam Booser;Casey Legumina,5.04,stable,,TRUE,75.3,--,45.8,3.23,26.7
38.6,32.17,39.64,40.14,50.34,33.2,TEX,39.3,34.3,41,-5.5,49.8,40.8,41.1,38.6,36.8,37.5,32.17,41.8,41.9,40.14,48.4,47.7,50.34,,,,,,,,,,,,,34.6,3.11,"[{""name"": ""Jacob deGrom"", ""pitch_score"": 54.6}, {""name"": ""Jacob Latz"", ""pitch_score"": 54.0}, {""name"": ""Nathan Eovaldi"", ""pitch_score"": 51.9}]",,,32.29,38.6,32.03,32.17,43.97,40.14,65.95,50.34,21.1,3.38,Jacob Latz,-3.8,5.6,,Cole Winn;Peyton Gray;Robby Ahlstrom,5.18,stable,,FALSE,63.9,--,45.5,3.12,33.7
58.11,8.84,25.11,31.51,38.41,50,TOR,57.9,8.8,31.6,-3.8,38.8,58.2,58.4,58.11,9.8,10.2,8.84,32.2,32.5,31.51,39.4,39.6,38.41,,,,,,,,,,,,,27.67,4.31,"[{""name"": ""Dylan Cease"", ""pitch_score"": 57.3}, {""name"": ""Cody Ponce"", ""pitch_score"": 54.0}, {""name"": ""Mason Fluharty"", ""pitch_score"": 51.6}]",,,57.81,58.11,24.3,8.84,34.17,31.51,28.58,38.41,21.9,3,Louis Varland,-2.7,9.9,,Adam Macko;Mason Fluharty;Spencer Miles,4.67,stable,,FALSE,66.8,--,48.2,2.6,25.2
47.79,67.29,87.59,69.42,87.3,65.6,WSN,48.3,65.6,68.6,-3.1,86.6,49.1,49.1,47.79,64.5,63.3,67.29,67.4,66.3,69.42,83.9,82.1,87.3,,,,,,,,,,,,,66.35,5.43,"[{""name"": ""Cade Cavalli"", ""pitch_score"": 52.1}, {""name"": ""Jake Irvin"", ""pitch_score"": 50.5}, {""name"": ""Foster Griffin"", ""pitch_score"": 50.4}]",,,44.47,47.79,76.01,67.29,75.23,69.42,96.31,87.3,17.4,3.53,Clayton Beeter,-5.8,9.3,,,4.46,stable,,FALSE,36.7,--,45.7,3.65,33.8
