xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0.5,44,22.73,-0.67,1.44,0.22,CIN,27.27,25,Other,FA,0,0.62,2088.95,85.65,78.2,100
0.25,24,8.33,-0.92,0,0.12,CIN,25,11.11,Forkball,FO,25,0,1117.5,82.47,82.85,100
0,2,0,-0.51,1.28,0.01,CIN,0,0,Eephus,EP,0,0,1089,0,47.1,0
0,2,0,-0.4,1.03,0.01,CIN,0,0,Pitch Out,PO,0,0,2058,0,92.3,0
0.33,6521,25.78,-0.23,1.3,31.83,CLE,54.27,25.08,4-Seam Fastball,FF,17.06,0.25,2304.59,83.16,94.77,67.82
0.34,2886,27.23,-0.24,0.62,14.09,CLE,54.4,23.56,Sinker,SI,13.42,0.26,2190.95,83.96,94,60.96
0.27,2815,32.54,-0.01,0.11,13.74,CLE,44.23,34.27,Slider,SL,31.23,0.22,2398.64,81.42,86.07,62.25
0.27,2427,24.47,-0.48,0.36,11.85,CLE,35.11,36.7,Changeup,CH,29.98,0.19,1729.11,80.27,86.46,73.12
0.31,1693,28.06,0.13,0.69,8.26,CLE,53.22,27.78,Cutter,FC,20.24,0.24,2361.63,81.82,89.7,66.59
0.22,1545,28.09,0.42,0.04,7.54,CLE,40.39,26.28,Sweeper,ST,27.48,0.16,2581.98,79.44,81.9,58.01
0.31,1267,30.54,0.36,-0.91,6.19,CLE,39.31,26.14,Curveball,CU,25.64,0.22,2625.17,81.69,79.61,45.78
0.24,749,25.5,-0.77,0.33,3.66,CLE,34.98,39.22,Split-Finger,FS,32.47,0.18,1330.5,78.81,86.02,74.05
0.24,348,25.57,0.48,-0.83,1.7,CLE,39.94,29.67,Knuckle Curve,KC,23.68,0.32,2508,80.26,83.79,64.75
0.14,127,5.51,-0.02,0.15,0.62,CLE,0,19.69,Unknown,UNK,16,0.2,2075,0,71.1,0
0.56,76,34.21,-0.73,-0.31,0.37,CLE,46.05,19.51,Slurve,SV,5.56,0.27,2701.22,82.11,83.02,28.57
0.02,18,16.67,-0.58,-0.21,0.09,CLE,5.56,23.53,Forkball,FO,60,0,565.61,75.5,85.76,100
0.3,10,40,-0.35,1.51,0.05,CLE,60,50,Eephus,EP,0,0.5,1295.2,85.65,51.68,33.33
0.7,2,0,-0.87,1.6,0.01,CLE,0,0,Other,FA,0,0,2072,0,79.6,0
0,1,0,1.51,0.21,0,CLE,100,0,Slow Curve,CS,0,0,2498,0,71.1,0
0.33,6719,24.56,-0.27,1.2,33.96,COL,52.76,31,4-Seam Fastball,FF,17.74,0.26,2328.53,82.09,94.85,71.31
0.3,2555,27.75,0.1,0.14,12.91,COL,43.09,37.35,Slider,SL,31.55,0.26,2445.66,80.66,86.47,76.2
0.36,2545,23.14,-0.37,0.59,12.86,COL,55.28,26.71,Sinker,SI,11.94,0.28,2207.05,82.84,94.29,68.3
0.25,2135,23.56,-0.44,0.34,10.79,COL,36.77,38.37,Changeup,CH,30.56,0.21,1795.95,79.32,86.81,84.08
0.27,1827,28.95,0.41,0.02,9.23,COL,38.48,38.08,Sweeper,ST,33.51,0.19,2594.62,80.1,83.48,70.27
0.34,1369,23.74,0.11,0.61,6.92,COL,47.04,34.76,Cutter,FC,18.91,0.27,2418.13,82.24,89.96,71.74
0.3,1316,31.08,0.3,-0.71,6.65,COL,38.07,35.95,Curveball,CU,34.85,0.24,2626.86,81.65,80.04,60.08
0.28,560,23.21,-0.64,0.23,2.83,COL,35,39.29,Split-Finger,FS,32.58,0.26,1493.26,80.05,86.87,85.2
0.22,392,33.93,0.69,-0.69,1.98,COL,37.76,41.8,Knuckle Curve,KC,41.23,0.2,2513.89,78.49,82.01,73.65
0.34,123,30.08,0.92,-0.61,0.62,COL,29.27,45.98,Slurve,SV,33.87,0.2,2782.06,79.54,80.89,61.11
0.25,79,25.32,-0.24,-0.26,0.4,COL,37.97,22.45,Forkball,FO,41.67,0.19,641.61,81.57,84.01,83.33
0.51,55,18.18,0,0.12,0.28,COL,52.73,15.38,Knuckleball,KN,12,0.67,295.2,85.82,74.03,72.41
0.45,38,15.79,-0.23,1.68,0.19,COL,47.37,45,Eephus,EP,4.17,0.5,1266.59,86.84,45.37,83.33
0.53,35,5.71,-0.38,1.13,0.18,COL,42.86,35,Other,FA,0,0.67,1514.59,91.4,60.85,93.33
0.7,34,0,0,0,0.17,COL,0,0,Unknown,UNK,0,0,0,0,0,0
0.11,2,0,1.02,-0.44,0.01,COL,0,100,Slow Curve,CS,0,0,2365,90.7,76.8,0
0.35,6600,24.98,-0.3,1.35,31.87,DET,53.2,22.24,4-Seam Fastball,FF,16.3,0.22,2309.42,84.32,94.32,69.01
0.39,3121,26.11,-0.45,0.67,15.07,DET,55.98,24.6,Sinker,SI,11.2,0.28,2202.29,84.11,93.89,62.39
0.26,2566,24.12,-0.29,0.39,12.39,DET,36.87,33.02,Changeup,CH,31.77,0.21,1753.99,79.56,85.54,74.52
0.28,2392,30.06,0.1,0.15,11.55,DET,45.23,28.93,Slider,SL,31.53,0.22,2423.99,81.8,85.71,65.8
0.36,1725,27.3,0.11,0.63,8.33,DET,54.49,24.2,Cutter,FC,20.38,0.27,2359.35,82.03,89.55,68.51
0.3,1721,29.92,0.48,0.11,8.31,DET,48.93,31.17,Sweeper,ST,24.3,0.28,2583.11,80,82.25,61.28
0.27,1369,31.7,0.45,-0.87,6.61,DET,39.3,29.96,Curveball,CU,31.64,0.19,2601.52,81.99,80.43,52.42
0.18,736,25.27,-0.78,0.25,3.55,DET,31.66,36.98,Split-Finger,FS,37.67,0.15,1327.05,77.72,85.51,78.54
0.26,286,25.52,0.43,-1,1.38,DET,38.11,31.64,Knuckle Curve,KC,19.49,0.19,2523.91,80.76,82.9,56.88
0.25,139,34.53,0.01,-0.44,0.67,DET,42.45,35,Slurve,SV,30,0.06,2636.37,83.52,81.99,54.24
0,30,0,0,0,0.14,DET,0,0,Unknown,UNK,0,0,0,0,0,0
0.29,15,13.33,-0.1,1.37,0.07,DET,40,22.22,Other,FA,0,0.4,1328.13,78.03,52.57,83.33
0.18,6,0,1.4,-0.99,0.03,DET,16.67,20,Slow Curve,CS,0,0,2728.83,68.05,71.53,100
0.34,6102,26.4,-0.37,1.34,29.04,HOU,52.97,27.25,4-Seam Fastball,FF,20.03,0.25,2332.17,84.38,95.17,69.09
0.37,3531,25.4,-0.7,0.68,16.8,HOU,54.83,27.65,Sinker,SI,10.11,0.29,2206.38,83.62,94.44,62.04
0.25,2991,31.06,0.17,0.06,14.23,HOU,40.62,35.53,Slider,SL,34.93,0.18,2461.03,81.41,86.84,64.94
0.27,1954,24.87,-0.23,0.4,9.3,HOU,36.69,32.42,Changeup,CH,30.53,0.2,1749.78,80.73,86.09,73.36
0.25,1887,31.64,0.78,0.09,8.98,HOU,43.56,35.31,Sweeper,ST,32.08,0.23,2642.99,79.95,83.35,60.83
0.37,1823,23.37,0.12,0.65,8.67,HOU,52.22,27.1,Cutter,FC,17.63,0.26,2413.55,82.22,89.9,71.11
0.3,1493,29.74,0.23,-0.88,7.1,HOU,36.7,29.84,Curveball,CU,30.91,0.2,2556.91,81.14,79.18,56.57
0.27,726,27.41,-0.67,0.31,3.45,HOU,37.74,41.37,Split-Finger,FS,32.99,0.23,1357.22,80.67,87.06,73.36
0.31,317,29.02,0.64,-0.85,1.51,HOU,33.12,41.51,Knuckle Curve,KC,36.18,0.31,2590.43,78.34,82.6,60.95
0,127,0,0.13,0.58,0.6,HOU,0,0,Unknown,UNK,0,0,2143,0,87.6,0
0.82,35,0,-0.18,-0.07,0.17,HOU,25.71,11.54,Slurve,SV,0,0.5,2288.26,90.54,80.8,100
0.36,24,16.67,0.39,1.58,0.11,HOU,33.33,50,Eephus,EP,0,0.6,995.08,95.99,38.02,75
0,4,25,1.06,-1.22,0.02,HOU,0,25,Slow Curve,CS,100,0,2455.25,0,67.7,0
0,2,0,0.38,0.36,0.01,HOU,0,0,Knuckleball,KN,0,0,107,0,51.3,0
0.34,6450,26.6,-0.26,1.29,32.63,KCR,53.27,26.74,4-Seam Fastball,FF,15.51,0.25,2306.8,83.34,94.7,64.73
0.37,2946,27.09,-0.32,0.69,14.9,KCR,55.4,24.2,Sinker,SI,8.72,0.26,2221.34,85.28,94.22,58.52
0.31,2417,28.63,0.13,0.1,12.23,KCR,39.93,31.75,Slider,SL,30.76,0.23,2449.73,83.79,85.9,66.42
0.29,2099,21.77,-0.23,0.4,10.62,KCR,36.54,35.74,Changeup,CH,26.85,0.25,1756.14,82.61,86.17,78.75
0.26,2037,31.96,0.35,0.07,10.3,KCR,42.02,34.21,Sweeper,ST,31.81,0.2,2593.25,80.55,83.34,57.48
0.35,1583,26.15,0.1,0.63,8.01,KCR,48.14,28.5,Cutter,FC,20,0.26,2426.33,83.14,89.78,67.06
0.3,1278,28.79,0.22,-0.96,6.46,KCR,41.08,34.53,Curveball,CU,23.96,0.23,2604.74,80.69,80.34,56.19
0.26,478,23.22,-0.75,0.32,2.42,KCR,33.47,35.85,Split-Finger,FS,31.15,0.22,1438.74,82.04,87.22,81.25
0.31,280,32.86,0.71,-0.85,1.42,KCR,44.64,38.71,Knuckle Curve,KC,30.88,0.28,2657.26,82.97,81.07,60.8
0.28,150,18.67,-0.96,-0.44,0.76,KCR,37.33,22.34,Slurve,SV,17.24,0.18,2539.97,78.91,82.38,66.07
0.7,41,0,0,0,0.21,KCR,0,0,Unknown,UNK,0,0,0,0,0,0
0.26,8,12.5,-0.46,1.01,0.04,KCR,25,50,Other,FA,0,0.5,1798.88,74.7,72.94,50
0,2,0,1.12,-0.47,0.01,KCR,0,0,Unknown,UN,0,0,1820,0,51.9,0
0.34,6306,25.06,-0.26,1.33,30.99,LAA,53.33,25.72,4-Seam Fastball,FF,19.1,0.24,2304.18,82.65,94.77,70.92
0.34,3148,27.41,-0.81,0.63,15.47,LAA,57.66,27.53,Sinker,SI,12.5,0.25,2203.57,82.99,94.01,64.41
0.27,2918,33.31,0.14,0.12,14.34,LAA,41.88,38.8,Slider,SL,37.3,0.23,2437.51,81.54,86.35,68.58
0.24,2242,25.42,-0.15,0.4,11.02,LAA,36.44,34.88,Changeup,CH,33.81,0.18,1760.04,79.43,85.84,76.74
0.27,1776,31.19,0.76,0.15,8.73,LAA,42.06,36.15,Sweeper,ST,33.96,0.21,2622.61,80.29,83.11,64.93
0.39,1639,27.27,0.1,0.67,8.06,LAA,51.74,30.47,Cutter,FC,20.49,0.31,2380.72,82.45,89.66,67.69
0.26,1247,31.76,0.34,-0.91,6.13,LAA,40.66,35.14,Curveball,CU,32.85,0.18,2606.42,81.15,79.76,57.99
0.25,524,28.24,-0.79,0.2,2.58,LAA,39.31,39.94,Split-Finger,FS,36.61,0.18,1171.64,79.45,86.33,81.55
0.24,319,29.15,0.38,-0.75,1.57,LAA,36.99,35.82,Knuckle Curve,KC,35.06,0.26,2554.38,87.84,83.3,69.49
0.23,97,6.19,0,0,0.48,LAA,0,22.68,Unknown,UNK,9.09,0.25,0,0,0,0
0.19,66,53.03,-0.91,-0.47,0.32,LAA,62.12,52,Slurve,SV,40,0.27,2808.73,70.24,81.83,41.46
0.28,31,12.9,-0.26,-0.25,0.15,LAA,51.61,33.33,Knuckleball,KN,5.26,0.44,321.19,79.08,80.93,87.5
0.12,26,30.77,-0.28,-0.02,0.13,LAA,69.23,25,Forkball,FO,16.67,0.33,734.77,78.55,86.27,55.56
0,6,0,1.01,-0.24,0.03,LAA,50,33.33,Slow Curve,CS,0,0,2456.5,75.68,69.28,100
0,2,0,0.56,2.31,0.01,LAA,0,0,Unknown,UN,0,0,856,0,39.3,0
0.38,6457,25.4,-0.28,1.29,30.51,LAD,53.07,24.95,4-Seam Fastball,FF,18.87,0.27,2311.32,84.28,94.75,69.51
0.38,3260,25.18,-0.54,0.59,15.4,LAD,54.48,24.93,Sinker,SI,11.24,0.28,2175.13,83.72,93.88,63.29
0.33,2993,29.57,0.09,0.13,14.14,LAD,45.77,30.56,Slider,SL,28.1,0.24,2427.94,81.6,86.06,64.6
0.29,2711,21.73,-0.48,0.33,12.81,LAD,35.89,28.6,Changeup,CH,26.96,0.21,1741.72,81.87,86.47,73.59
0.4,1763,24.84,0.08,0.64,8.33,LAD,54.06,24.57,Cutter,FC,17.03,0.31,2404.7,83.27,89.57,71.56
0.28,1617,31.17,0.46,0.05,7.64,LAD,47.31,26.88,Sweeper,ST,27.84,0.25,2622.07,81.62,82.64,56.47
0.29,1214,26.94,0.33,-0.77,5.74,LAD,39.87,26.58,Curveball,CU,28.07,0.27,2608.01,80.58,80.25,60.74
0.26,635,25.04,-0.74,0.21,3,LAD,33.54,32.7,Split-Finger,FS,35.12,0.26,1472.58,81.17,86.74,75.59
0.38,323,25.7,0.53,-0.73,1.53,LAD,43.96,29.28,Knuckle Curve,KC,22.96,0.22,2497.73,86.66,82.62,57.75
0.14,73,0,0,0,0.34,LAD,0,0,Unknown,UNK,0,0,0,0,0,0
0.29,68,29.41,0.02,-0.37,0.32,LAD,41.18,30,Slurve,SV,31.03,0.31,2666.75,79.97,81.68,60.71
0.26,29,13.79,-1.14,1.34,0.14,LAD,48.28,20,Other,FA,11.76,0.25,1872.97,78.07,76.37,100
0.23,18,11.11,-0.5,1.72,0.09,LAD,27.78,38.46,Eephus,EP,0,0.14,1391.89,78.81,50.19,80
0,2,0,1.12,-0.25,0.01,LAD,0,0,Unknown,UN,0,0,2456,0,72,0
0.34,5890,26.52,-0.35,1.34,29.29,MIA,53.17,24.58,4-Seam Fastball,FF,16.43,0.26,2315.68,83.89,94.7,65.58
0.35,3231,26.52,-0.56,0.6,16.07,MIA,55.18,21.82,Sinker,SI,9.3,0.28,2209.61,84.05,93.62,59.45
0.3,2803,30.54,0.12,0.2,13.94,MIA,45.67,35.06,Slider,SL,31.69,0.28,2421.75,82.04,86.34,70.7
0.27,2489,27.48,-0.57,0.33,12.38,MIA,35.64,35.77,Changeup,CH,35.69,0.27,1759.71,78.93,86.23,77.23
0.22,1636,28.73,0.38,0.08,8.14,MIA,40.16,29.11,Sweeper,ST,29.96,0.14,2576.65,77.3,82.63,58.75
0.31,1564,27.05,0.04,0.69,7.78,MIA,52.69,29.19,Cutter,FC,16.18,0.26,2391.66,80.29,89.97,66.02
0.3,1298,29.58,0.44,-0.85,6.45,MIA,40.91,23.73,Curveball,CU,26.52,0.22,2588.27,82.26,79.73,52.35
0.29,711,24.61,-0.94,0.33,3.54,MIA,34.6,32.9,Split-Finger,FS,37.68,0.24,1371.31,83.49,86.55,78.05
0.25,373,32.17,0.58,-0.88,1.85,MIA,37.53,35.19,Knuckle Curve,KC,39.64,0.17,2504.99,77.35,81.94,62.14
0.23,67,0,-1.14,-0.09,0.33,MIA,0,0,Unknown,UNK,0,0,1441,0,89.2,0
0.23,32,37.5,-0.87,-0.19,0.16,MIA,50,37.5,Slurve,SV,41.18,0.33,2547.44,76.61,82.19,68.75
0.3,9,22.22,-1.14,1.27,0.04,MIA,44.44,0,Other,FA,0,0.33,1842.78,90.3,76.1,75
0.03,5,20,-0.37,1.28,0.02,MIA,20,25,Eephus,EP,0,0,1145.2,85.05,49.12,100
0,1,0,0.77,1.55,0,MIA,0,0,Pitch Out,PO,0,0,2092,0,92,0
0.33,6403,27.8,-0.27,1.27,30.87,MIL,52.73,26.3,4-Seam Fastball,FF,17.99,0.25,2313.87,83.38,94.6,63.83
0.36,3496,27.97,-0.32,0.62,16.85,MIL,57.64,20.73,Sinker,SI,10.04,0.29,2189.36,84.67,93.5,59.9
0.27,2848,30.93,0.08,0.1,13.73,MIL,43.01,26.74,Slider,SL,31.27,0.23,2449.7,82.73,85.96,59.35
0.3,2199,22.83,-0.3,0.3,10.6,MIL,34.83,27.98,Changeup,CH,29.76,0.24,1744.58,80.21,86.23,71.8
0.36,1752,27.85,0.05,0.64,8.45,MIL,51.94,29.1,Cutter,FC,20.68,0.32,2376.81,81.01,89.66,67.14
0.27,1598,29.35,0.47,0.09,7.7,MIL,44.49,26.38,Sweeper,ST,27.53,0.19,2614.9,81.27,82.8,61.6
0.29,1294,29.6,0.36,-0.78,6.24,MIL,39.95,23.42,Curveball,CU,28.35,0.24,2628.5,82.05,79.95,54.16
0.21,516,26.36,-0.8,0.24,2.49,MIL,37.4,36.84,Split-Finger,FS,32.44,0.12,1418.06,82.39,86.99,74.09
0.32,250,22.8,0.69,-0.81,1.21,MIL,41.6,30.82,Knuckle Curve,KC,18.75,0.33,2583.42,84.82,80.9,64.42
0.42,126,7.94,0,0,0.61,MIL,0,14.29,Unknown,UNK,11.11,0.17,0,0,0,0
0.45,91,36.26,0.37,-0.59,0.44,MIL,47.25,22.92,Slurve,SV,16.67,0.38,2800.23,77.64,80.8,44.19
0.49,87,13.79,-0.74,1.22,0.42,MIL,37.93,27.78,Other,FA,5.13,0.5,1455.95,84.32,65.53,72.73
0.41,52,13.46,-0.22,2,0.25,MIL,25,28.21,Eephus,EP,18.18,0.25,865.62,83.01,37.86,84.62
