ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
7.36,3.72,2.45,,3.47,16.7,FALSE,16.7,9,1.83,2,7.36,,52.9,102.7,59.8,0,608718,45.2,51.1,51.7,57,43,season,10.8,4.5,R,Brent Suter,LAA,Fewer than 2 L14 starts (0) -- using season data.
4.5,4.83,4.5,,5.36,11.1,FALSE,0,10.8,2,1,4.5,,26.7,97.3,47.4,0,615698,46.3,19.8,34.3,42.3,34,season,4.5,,R,Cal Quantrill,TEX,Fewer than 2 L14 starts (0) -- using season data.
2.45,4.47,2.45,,1.74,41.2,FALSE,11.8,5.4,3.67,1,,2.45,35.5,100.2,42.6,0,621107,39.6,39.2,40.8,43.6,74,season,2.45,,R,Zach Eflin,BAL,Fewer than 2 L14 starts (0) -- using season data.
3.96,3.28,0.62,,3.64,21.1,FALSE,7.5,3.36,4.84,15,4.78,3.32,41.1,100.5,45.4,0,621111,44.5,45.2,46.8,50.2,81.5,season,4.15,3.86,R,Walker Buehler,SDP,Fewer than 2 L14 starts (0) -- using season data.
0,3.89,0,,4.18,0,FALSE,40,3.6,1,1,,0,35.5,100.2,42.6,0,621112,36.6,36.2,37.7,40.3,24,season,0,,R,Paul Blackburn,NYY,Fewer than 2 L14 starts (0) -- using season data.
6.86,5.06,1.6,,4.15,25,FALSE,12.8,7.88,4.92,8,7.53,6.48,58.5,107,51.4,0,621121,45.9,55.1,55,61.3,87,season,4.86,12.91,R,Lance McCullers Jr.,HOU,Fewer than 2 L14 starts (0) -- using season data.
9,3.68,0,,4.43,33.3,FALSE,33.3,9,1,1,9,,62.6,110,68.9,0,621383,70.8,64.5,60.4,48.2,28,season,,,R,Tanner Banks,PHI,Fewer than 2 L14 starts (0) -- using season data.
5.16,4.08,1.37,,4.29,21.7,FALSE,7.9,6.15,4.94,12,4.85,5.75,52.6,101.3,56.1,0,622491,41.7,46.2,51.3,63.9,92.1,season,5.7,0,R,Luis Castillo,SEA,Fewer than 2 L14 starts (0) -- using season data.
4.16,4.47,1.29,,4.13,24,FALSE,11.4,5.4,5.22,12,3.38,5.33,49.6,102.5,58.2,0,622663,43.5,47.3,51.3,61.4,90.5,season,4.38,3,R,Luis Severino,ATH,Fewer than 2 L14 starts (0) -- using season data.
1.23,3.67,0,,3.31,40,FALSE,13.3,2.7,3.67,2,3.38,0,32.9,98.8,43.6,0,623454,44.6,31.5,40,46.3,61,season,1.23,,R,Drew Anderson,DET,Fewer than 2 L14 starts (0) -- using season data.
