team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
TEX,FC,Cutter,315,281,70,134,27,5,39,17,12.38095,8.57143,0.24911,0.32381,0.47687,0.22776,0.34933,5.39683,2026-05-03,2026-08-31
TEX,FF,4-Seam Fastball,1176,1010,225,414,136,16,277,42,23.55442,11.56463,0.22277,0.32361,0.4099,0.18713,0.32598,3.57143,2026-05-03,2026-08-31
TEX,FS,Splitter,90,86,22,38,4,0,23,4,25.55556,4.44444,0.25581,0.28889,0.44186,0.18605,0.31889,4.44444,2026-05-03,2026-08-31
TEX,KC,Knuckle Curve,66,60,13,19,5,1,24,1,36.36364,7.57576,0.21667,0.28788,0.31667,0.1,0.27364,1.51515,2026-05-03,2026-08-31
TEX,SI,Sinker,623,552,169,234,53,12,75,13,12.03852,8.50722,0.30616,0.37803,0.42391,0.11775,0.3573,2.08668,2026-05-03,2026-08-31
TEX,SL,Slider,572,515,125,205,42,8,160,20,27.97203,7.34266,0.24272,0.3081,0.39806,0.15534,0.31285,3.4965,2026-05-03,2026-08-31
TEX,ST,Sweeper,331,306,74,118,15,3,91,9,27.49245,4.53172,0.24183,0.27964,0.38562,0.14379,0.29085,2.71903,2026-05-03,2026-08-31
TEX,SV,Slurve,23,23,3,3,0,0,8,0,34.78261,0.0,0.13043,0.13043,0.13043,0.0,0.11609,0.0,2026-05-03,2026-08-31
TOR,CH,Changeup,443,417,100,156,17,3,97,13,21.89616,3.83747,0.23981,0.27211,0.3741,0.13429,0.28363,2.93454,2026-05-03,2026-08-31
TOR,CS,Slow Curve,2,2,0,0,0,0,2,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
TOR,CU,Curveball,194,182,37,57,8,3,50,4,25.7732,4.12371,0.2033,0.24742,0.31319,0.10989,0.24995,2.06186,2026-05-03,2026-08-31
TOR,EP,Eephus,6,5,4,8,1,0,0,1,0.0,16.66667,0.8,0.83333,1.6,0.8,0.97333,16.66667,2026-05-03,2026-08-31
TOR,FA,Fastball,2,2,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-03,2026-08-31
TOR,FC,Cutter,326,294,63,97,26,2,43,7,13.19018,7.97546,0.21429,0.28,0.32993,0.11565,0.27342,2.14724,2026-05-03,2026-08-31
TOR,FF,4-Seam Fastball,1061,929,234,381,106,6,203,29,19.13289,9.99057,0.25188,0.32921,0.41012,0.15823,0.32682,2.73327,2026-05-03,2026-08-31
TOR,FS,Splitter,126,121,33,42,4,0,31,1,24.60317,3.1746,0.27273,0.296,0.34711,0.07438,0.28496,0.79365,2026-05-03,2026-08-31
TOR,KC,Knuckle Curve,68,66,17,32,2,0,21,3,30.88235,2.94118,0.25758,0.27941,0.48485,0.22727,0.32971,4.41176,2026-05-03,2026-08-31
TOR,KN,Knuckleball,6,6,1,1,0,0,2,0,33.33333,0.0,0.16667,0.16667,0.16667,0.0,0.14833,0.0,2026-05-03,2026-08-31
TOR,SI,Sinker,845,752,209,293,69,11,103,15,12.18935,8.16568,0.27793,0.34364,0.38963,0.1117,0.32637,1.77515,2026-05-03,2026-08-31
TOR,SL,Slider,504,466,103,172,27,8,127,16,25.19841,5.35714,0.22103,0.27435,0.3691,0.14807,0.28503,3.1746,2026-05-03,2026-08-31
TOR,ST,Sweeper,312,286,61,96,15,6,91,9,29.16667,4.80769,0.21329,0.26282,0.33566,0.12238,0.26558,2.88462,2026-05-03,2026-08-31
TOR,SV,Slurve,5,4,1,4,1,0,2,1,40.0,20.0,0.25,0.4,1.0,0.75,0.558,20.0,2026-05-03,2026-08-31
WSN,CH,Changeup,533,497,112,176,27,3,118,13,22.13884,5.06567,0.22535,0.26742,0.35412,0.12877,0.27349,2.43902,2026-05-03,2026-08-31
WSN,CU,Curveball,242,223,53,98,10,7,74,9,30.57851,4.13223,0.23767,0.28926,0.43946,0.20179,0.31727,3.71901,2026-05-03,2026-08-31
WSN,EP,Eephus,6,6,3,3,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-03,2026-08-31
WSN,FA,Fastball,16,13,6,10,3,0,0,1,0.0,18.75,0.46154,0.5625,0.76923,0.30769,0.5625,6.25,2026-05-03,2026-08-31
