player_id,full_name,team,team_abbr,position,position_type,bats,throws,jersey_number,status
573204,Caleb Thielbar,Chicago Cubs,CHC,P,RP,R,L,24,active
605280,Clay Holmes,Chicago Cubs,CHC,P,RP,R,R,25,active
607067,Colin Rea,Chicago Cubs,CHC,P,RP,R,R,53,active
694037,Daniel Palencia,Chicago Cubs,CHC,P,RP,R,R,48,active
656849,David Peterson,Chicago Cubs,CHC,P,RP,L,L,19,active
657097,Jacob Webb,Chicago Cubs,CHC,P,RP,R,R,71,active
592332,Kevin Gausman,Chicago Cubs,CHC,P,RP,L,R,12,active
571510,Matthew Boyd,Chicago Cubs,CHC,P,RP,L,L,16,active
669020,Ryan Rolison,Chicago Cubs,CHC,P,RP,R,L,33,active
666171,Ryan Zeferjahn,Chicago Cubs,CHC,P,RP,R,R,56,active
684007,Shota Imanaga,Chicago Cubs,CHC,P,RP,L,L,18,active
663423,Trent Thornton,Chicago Cubs,CHC,P,RP,R,R,49,active
808959,Munetaka Murakami,Chicago White Sox,CHW,1B,1B,L,R,5,active
805367,Chase Meidroth,Chicago White Sox,CHW,2B,2B,R,R,10,active
678246,Miguel Vargas,Chicago White Sox,CHW,3B,3B,R,R,20,active
691011,Drew Romo,Chicago White Sox,CHW,C,C,S,R,36,active
668670,Jake Rogers,Chicago White Sox,CHW,C,C,R,R,28,active
643217,Andrew Benintendi,Chicago White Sox,CHW,DH,DH,L,L,23,active
545341,Randal Grichuk,Chicago White Sox,CHW,DH,DH,R,R,34,active
695731,Braden Montgomery,Chicago White Sox,CHW,RF,OF,S,R,24,active
686668,Brenton Doyle,Chicago White Sox,CHW,CF,OF,R,R,7,active
803011,Sam Antonacci,Chicago White Sox,CHW,LF,OF,L,R,17,active
671976,Tristan Peters,Chicago White Sox,CHW,CF,OF,L,R,29,active
641743,Anthony Kay,Chicago White Sox,CHW,P,RP,L,L,18,active
663542,Bryan Hudson,Chicago White Sox,CHW,P,RP,L,L,60,active
607200,Erick Fedde,Chicago White Sox,CHW,P,RP,R,R,47,active
691799,Grant Taylor,Chicago White Sox,CHW,P,RP,R,R,31,active
696146,Hagen Smith,Chicago White Sox,CHW,P,RP,L,L,32,active
663855,Jordan Hicks,Chicago White Sox,CHW,P,RP,R,R,44,active
664353,José Urquidy,Chicago White Sox,CHW,P,RP,R,R,70,active
622491,Luis Castillo,Chicago White Sox,CHW,P,RP,R,R,58,active
680732,Sean Burke,Chicago White Sox,CHW,P,RP,R,R,59,active
656794,Sean Newcomb,Chicago White Sox,CHW,P,RP,L,L,15,active
670950,Trevor Richards,Chicago White Sox,CHW,P,RP,R,R,43,active
699823,Tyler Davis,Chicago White Sox,CHW,P,RP,R,R,63,active
656457,Tyler Gilbert,Chicago White Sox,CHW,P,RP,L,L,40,active
695657,Colson Montgomery,Chicago White Sox,CHW,SS,SS,L,R,12,active
